,date,ticker,name,action,cik
50,2022-10-12,NLSN,Nielsen Holdings,removed,
50,2022-10-12,TRGP,Targa Resources,added,
51,2022-10-03,CTXS,Citrix Systems,removed,
52,2022-10-03,DRE,Duke Realty,removed,
52,2022-10-03,EQT,EQT Corporation,added,
51,2022-10-03,PCG,PG&E,added,
53,2022-09-19,CSGP,CoStar Group,added,
54,2022-09-19,INVH,Invitation Homes,added,
54,2022-09-19,PENN,Penn Entertainment,removed,
53,2022-09-19,PVH,PVH,removed,
57,2022-06-21,IPGP,IPG Photonics,removed,
56,2022-06-21,KDP,Keurig Dr Pepper,added,
57,2022-06-21,ON,ON Semiconductor,added,
55,2022-06-21,UA,Under Armour (Class C),removed,
56,2022-06-21,UAA,Under Armour (Class A),removed,
58,2022-06-08,CERN,Cerner,removed,
58,2022-06-08,VICI,Vici Properties,added,
59,2022-04-11,DISCA,"Discovery, Inc.",removed,
60,2022-04-11,DISCK,"Discovery, Inc.",removed,
59,2022-04-11,WBD,Warner Bros. Discovery,added,
61,2022-04-04,CPT,Camden Property Trust,added,
61,2022-04-04,PBCT,People's United Financial,removed,
62,2022-03-02,INFO,IHS Markit,removed,
62,2022-03-02,MOH,Molina Healthcare,added,
63,2022-02-15,NDSN,Nordson Corporation,added,
63,2022-02-15,XLNX,Xilinx,removed,
64,2022-02-03,GPS,Gap,removed,
65,2022-02-02,CEG,Constellation Energy,added,
68,2021-12-20,FDS,FactSet,added,
67,2021-12-20,HBI,Hanesbrands,removed,
66,2021-12-20,LEG,Leggett & Platt,removed,
66,2021-12-20,SBNY,Signature Bank,added,
67,2021-12-20,SEDG,SolarEdge,added,
68,2021-12-20,WU,Western Union,removed,
69,2021-12-14,EPAM,EPAM Systems,added,
69,2021-12-14,KSU,Kansas City Southern,removed,
72,2021-09-20,BRO,Brown & Brown,added,
71,2021-09-20,CDAY,Ceridian,added,
139,2021-09-20,DAY,Dayforce,added,0001725057
70,2021-09-20,MTCH,Match Group,added,
72,2021-09-20,NOV,Nov,removed,
70,2021-09-20,PRGO,Perrigo,removed,
71,2021-09-20,UNM,Unum,removed,
73,2021-08-30,MXIM,Maxim Integrated,removed,
73,2021-08-30,TECH,Bio-Techne,added,
74,2021-07-21,ALXN,Alexion Pharmaceuticals,removed,
74,2021-07-21,MRNA,Moderna,added,
75,2021-06-04,HFC,HollyFrontier,removed,
76,2021-06-03,OGN,Organon & Co.,added,
77,2021-05-14,CRL,Charles River Laboratories,added,
77,2021-05-14,FLIR,FLIR Systems,removed,
78,2021-04-20,PTC,PTC,added,
78,2021-04-20,VAR,Varian Medical Systems,removed,
82,2021-03-22,CZR,Caesars Entertainment,added,
79,2021-03-22,FLS,Flowserve,removed,
81,2021-03-22,GNRC,Generac Holdings,added,
79,2021-03-22,NXPI,NXP,added,
80,2021-03-22,PENN,Penn National Gaming,added,
80,2021-03-22,SLG,SL Green Realty,removed,
82,2021-03-22,VNT,Vontier,removed,
81,2021-03-22,XRX,Xerox,removed,
83,2021-02-12,FTI,TechnipFMC,removed,
83,2021-02-12,MPWR,Monolithic Power Systems,added,
84,2021-01-21,CXO,Concho Resources,removed,
84,2021-01-21,TRMB,Trimble,added,
85,2021-01-07,ENPH,Enphase Energy,added,
85,2021-01-07,TIF,Tiffany & Co,removed,
86,2020-12-21,AIV,Apartment Investment & Management,removed,
86,2020-12-21,TSLA,Tesla,added,
87,2020-10-12,NBL,Noble Energy,removed,
88,2020-10-09,VNT,Vontier,added,
89,2020-10-07,ETFC,E-Trade,removed,
89,2020-10-07,POOL,Pool Corporation,added,
91,2020-09-21,COTY,Coty,removed,
92,2020-09-21,CTLT,Catalent,added,
90,2020-09-21,ETSY,Etsy,added,
90,2020-09-21,HRB,H&R Block,removed,
92,2020-09-21,KSS,Kohl's,removed,
91,2020-09-21,TER,Teradyne,added,
93,2020-06-22,ADS,Alliance Data Systems,removed,
93,2020-06-22,BIO,Bio-Rad Laboratories,added,
94,2020-06-22,HOG,Harley-Davidson,removed,
95,2020-06-22,JWN,Nordstrom,removed,
94,2020-06-22,TDY,Teledyne,added,
95,2020-06-22,TYL,Tyler Technologies,added,
96,2020-05-22,HP,Helmerich & Payne,removed,
96,2020-05-22,WST,West Pharmaceutical Services,added,
98,2020-05-12,AGN,Allergan,removed,
97,2020-05-12,CPRI,Capri Holdings,removed,
97,2020-05-12,DPZ,Domino's Pizza,added,
98,2020-05-12,DXCM,Dexcom,added,
99,2020-04-06,M,Macy's,removed,
100,2020-04-06,RTN,Raytheon Company,removed,
102,2020-04-03,CARR,Carrier,added,
101,2020-04-03,OTIS,Otis Worldwide,added,
103,2020-04-01,ARNC,Arconic,removed,
103,2020-04-01,HWM,Howmet Aerospace,added,
104,2020-03-02,IR,Ingersoll Rand,added,
104,2020-03-02,XEC,Cimarex Energy,removed,
105,2020-01-28,PAYC,Paycom,added,
105,2020-01-28,WCG,WellCare,removed,
106,2019-12-23,AMG,Affiliated Managers Group,removed,
106,2019-12-23,LYV,Live Nation Entertainment,added,
108,2019-12-23,MAC,Macerich,removed,
108,2019-12-23,STE,Steris,added,
107,2019-12-23,TRIP,TripAdvisor,removed,
107,2019-12-23,ZBRA,Zebra Technologies,added,
109,2019-12-09,ODFL,Old Dominion Freight Line,added,
109,2019-12-09,STI,SunTrust Banks,removed,
110,2019-12-05,VIAB,Viacom,removed,
110,2019-12-05,WRB,W. R. Berkley Corporation,added,
111,2019-11-21,CELG,Celgene,removed,
111,2019-11-21,NOW,ServiceNow,added,
112,2019-10-03,LVS,Las Vegas Sands,added,
112,2019-10-03,NKTR,Nektar Therapeutics,removed,
113,2019-09-26,JEF,Jefferies Financial Group,removed,
113,2019-09-26,NVR,NVR,added,
114,2019-09-23,CDW,CDW Corporation,added,
114,2019-09-23,TSS,TSYS,removed,
115,2019-08-09,APC,Anadarko Petroleum,removed,
116,2019-08-09,FL,Foot Locker,removed,
116,2019-08-09,IEX,IDEX Corporation,added,
115,2019-08-09,LDOS,Leidos,added,
432,2019-07-29,TROW,T. Rowe Price,added,0001113169
117,2019-07-15,RHT,Red Hat,removed,
117,2019-07-15,TMUS,T-Mobile US,added,
118,2019-07-01,LLL,L3 Technologies,removed,
118,2019-07-01,MKTX,MarketAxess,added,
119,2019-06-11,AMCR,Amcor,added,
119,2019-06-11,BMS,Bemis,removed,
120,2019-06-07,BMS,Bemis,added,
120,2019-06-07,MAT,Mattel,removed,
122,2019-06-03,CTVA,Corteva,added,
121,2019-06-03,DD,DuPont,added,
121,2019-06-03,DWDP,DuPont,removed,
122,2019-06-03,FLR,Fluor Corporation,removed,
123,2019-04-02,BHF,Brighthouse Financial,removed,
123,2019-04-02,DOW,Dow,added,
125,2019-03-19,FOX,Fox Corporation,added,
125,2019-03-19,FOX,21st Century Fox,removed,
124,2019-03-19,FOXA,Fox Corporation,added,
124,2019-03-19,FOXA,21st Century Fox,removed,
126,2019-02-27,GT,The Goodyear Tire & Rubber Company,removed,
126,2019-02-27,WAB,Wabtec,added,
127,2019-02-15,ATO,Atmos Energy,added,
127,2019-02-15,NFX,Newfield Exploration,removed,
128,2019-01-18,PCG,Pacific Gas & Electric Company,removed,
128,2019-01-18,TFX,Teleflex,added,
129,2019-01-02,FRC,First Republic Bank,added,
129,2019-01-02,SCG,SCANA,removed,
130,2018-12-24,CE,Celanese,added,
130,2018-12-24,ESRX,Express Scripts,removed,
132,2018-12-03,AET,Aetna,removed,
131,2018-12-03,COL,Rockwell Collins,removed,
133,2018-12-03,FANG,Diamondback Energy,added,
131,2018-12-03,LW,Lamb Weston,added,
132,2018-12-03,MXIM,Maxim Integrated,added,
133,2018-12-03,SRCL,Stericycle,removed,
134,2018-11-13,EQT,EQT Corporation,removed,
134,2018-11-13,JKHY,Jack Henry & Associates,added,
135,2018-11-06,CA,CA Technologies,removed,
135,2018-11-06,KEYS,Keysight,added,
136,2018-10-11,EVHC,Envision Healthcare,removed,
136,2018-10-11,FTNT,Fortinet,added,
137,2018-10-01,ANDV,Andeavor,removed,
137,2018-10-01,ROL,Rollins,added,
138,2018-09-14,WCG,WellCare,added,
138,2018-09-14,XL,XL Group,removed,
139,2018-08-28,ANET,Arista Networks,added,
139,2018-08-28,GGP,GGP,removed,
140,2018-07-02,CPRT,Copart,added,
140,2018-07-02,DPS,Dr Pepper Snapple Group,removed,
125,2018-06-20,CPAY,Corpay,added,0001175454
141,2018-06-20,FLT,FleetCor Technologies,added,
141,2018-06-20,TWX,Time Warner,removed,
143,2018-06-18,AYI,Acuity Brands,removed,
142,2018-06-18,BR,Broadridge Financial Solutions,added,
143,2018-06-18,HFC,HollyFrontier,added,
142,2018-06-18,RRC,Range Resources,removed,
144,2018-06-07,MON,Monsanto,removed,
144,2018-06-07,TWTR,Twitter,added,
145,2018-06-05,EVRG,Evergy,added,
145,2018-06-05,NAVI,Navient,removed,
146,2018-05-31,ABMD,Abiomed,added,
146,2018-05-31,WYN,Wyndham Worldwide,removed,
147,2018-04-04,CSRA,CSRA,removed,
147,2018-04-04,MSCI,MSCI,added,
150,2018-03-19,CHK,Chesapeake Energy,removed,
150,2018-03-19,NKTR,Nektar Therapeutics,added,
149,2018-03-19,PDCO,Patterson Companies,removed,
148,2018-03-19,SIG,Signet Jewelers,removed,
149,2018-03-19,SIVB,SVB Financial Group,added,
148,2018-03-19,TTWO,Take-Two Interactive,added,
151,2018-03-07,IPGP,IPG Photonics,added,
151,2018-03-07,SNI,Scripps Networks Interactive,removed,
152,2018-01-03,BCR,CR Bard,removed,
152,2018-01-03,HII,Huntington Ingalls Industries,added,
153,2017-10-13,LVLT,Level 3 Communications,removed,
153,2017-10-13,NCLH,Norwegian Cruise Line Holdings,added,
154,2017-09-18,CDNS,Cadence Design Systems,added,
154,2017-09-18,SPLS,Staples,removed,
156,2017-09-01,DD,DuPont,removed,
155,2017-09-01,DOW,Dow Chemical Company,removed,
155,2017-09-01,DWDP,DuPont,added,
156,2017-09-01,SBAC,SBA Communications,added,
259,2017-08-29,IQV,IQVIA,added,0001478242
157,2017-08-29,Q,QuintilesIMS,added,
157,2017-08-29,WFM,Whole Foods Market,removed,
158,2017-08-08,AN,AutoNation,removed,
158,2017-08-08,BHF,Brighthouse Financial,added,
160,2017-07-26,AOS,A. O. Smith,added,
160,2017-07-26,BBBY,Bed Bath & Beyond,removed,
159,2017-07-26,DRE,Duke Realty Corp,added,
163,2017-07-26,MGM,MGM Resorts International,added,
162,2017-07-26,MNK,Mallinckrodt,removed,
161,2017-07-26,MUR,Murphy Oil,removed,
161,2017-07-26,PKG,Packaging Corporation of America,added,
163,2017-07-26,RAI,Reynolds American,removed,
159,2017-07-26,RIG,Transocean,removed,
162,2017-07-26,RMD,ResMed,added,
164,2017-07-07,BHI,Baker Hughes,removed,
164,2017-07-07,BKR,Baker Hughes,added,
166,2017-06-19,ALGN,Align Technology,added,
167,2017-06-19,ANSS,Ansys,added,
179,2017-06-19,EG,Everest Group,added,0001095073
165,2017-06-19,HLT,Hilton,added,
168,2017-06-19,MJN,Mead Johnson,removed,
167,2017-06-19,R,Ryder System,removed,
168,2017-06-19,RE,Everest Re,added,
166,2017-06-19,TDC,Teradata,removed,
165,2017-06-19,YHOO,Yahoo!,removed,
169,2017-06-02,INFO,IHS Markit,added,
169,2017-06-02,TGNA,Tegna,removed,
170,2017-04-05,DNB,Dun & Bradstreet,removed,
170,2017-04-05,IT,Gartner,added,
171,2017-04-04,DXC,DXC Technology,added,
171,2017-04-04,SWN,Southwestern Energy,removed,
172,2017-03-20,AMD,Advanced Micro Devices,added,
174,2017-03-20,ARE,Alexandria Real Estate Equities,added,
174,2017-03-20,FSLR,First Solar,removed,
173,2017-03-20,FTR,Frontier Communications,removed,
173,2017-03-20,RJF,Raymond James Financial,added,
172,2017-03-20,URBN,Urban Outfitters,removed,
410,2017-03-17,SRE,Sempra,added,0001032208
175,2017-03-16,HAR,Harman International,removed,
175,2017-03-16,SNPS,Synopsys,added,
176,2017-03-13,DISH,Dish Network,added,
176,2017-03-13,LLTC,Linear Technology,removed,
177,2017-03-02,ENDP,Endo International,removed,
177,2017-03-02,REG,Regency Centers,added,
178,2017-03-01,CBOE,Cboe Holdings,added,
178,2017-03-01,PBI,Pitney Bowes,removed,
179,2017-02-28,INCY,Incyte,added,
179,2017-02-28,SE,Spectra Energy,removed,
180,2017-01-05,IDXX,Idexx Laboratories,added,
180,2017-01-05,STJ,St Jude Medical,removed,
182,2016-12-02,EVHC,Envision Healthcare,added,
182,2016-12-02,LM,Legg Mason,removed,
181,2016-12-02,MAA,Mid-America Apartments,added,
181,2016-12-02,OI,Owens-Illinois,removed,
150,2016-11-30,D,Dominion Energy,added,0000715957
183,2016-11-01,AA,Alcoa,removed,
183,2016-11-01,ARNC,Arconic,added,
184,2016-09-30,COTY,Coty,added,
184,2016-09-30,DO,Diamond Offshore Drilling,removed,
185,2016-09-22,COO,The Cooper Companies,added,
185,2016-09-22,HOT,Starwood,removed,
186,2016-09-08,CHTR,Charter Communications,added,
186,2016-09-08,EMC,EMC Corporation,removed,
187,2016-09-06,MTD,Mettler Toledo,added,
187,2016-09-06,TYC,Tyco International,removed,
188,2016-07-05,CPGX,Columbia Pipeline Group,removed,
188,2016-07-05,FTV,Fortive Corp,added,
190,2016-07-01,ALB,Albemarle Corporation,added,
189,2016-07-01,GAS,AGL Resources,removed,
189,2016-07-01,LNT,Alliant Energy Corp,added,
190,2016-07-01,TE,TECO Energy,removed,
191,2016-06-22,CVC,Cablevision Systems,removed,
191,2016-06-22,FBHS,Fortune Brands Home & Security,added,
192,2016-06-03,BXLT,Baxalta,removed,
192,2016-06-03,TDG,TransDigm Group,added,
193,2016-05-31,AJG,Arthur J. Gallagher & Co.,added,
193,2016-05-31,CCE,Coca-Cola Enterprises,removed,
194,2016-05-23,ARG,Airgas,removed,
194,2016-05-23,LKQ,LKQ Corporation,added,
195,2016-05-18,DLR,Digital Realty,added,
195,2016-05-18,TWC,Time Warner Cable,removed,
196,2016-05-13,ALK,Alaska Air Group,added,
196,2016-05-13,SNDK,SanDisk,removed,
197,2016-05-03,ADT,ADT,removed,
197,2016-05-03,AYI,Acuity Brands,added,
198,2016-04-25,GME,GameStop,removed,
198,2016-04-25,GPN,Global Payments,added,
199,2016-04-18,THC,Tenet Healthcare,removed,
199,2016-04-18,ULTA,Ulta Beauty,added,
200,2016-04-08,UA,Under Armour (Class C),added,
201,2016-04-04,CAM,Cameron International,removed,
201,2016-04-04,FL,Foot Locker,added,
203,2016-03-30,CNC,Centene Corporation,added,
203,2016-03-30,ESV,Ensco,removed,
202,2016-03-30,HOLX,Hologic,added,
202,2016-03-30,POM,Pepco Holdings,removed,
204,2016-03-07,GMCR,Keurig Green Mountain,removed,
204,2016-03-07,UDR,UDR,added,
205,2016-03-04,AWK,American Water Works,added,
205,2016-03-04,CNX,Consol Energy,removed,
206,2016-02-22,CXO,Concho Resources,added,
206,2016-02-22,PCL,Plum Creek Timber,removed,
208,2016-02-01,BRCM,Broadcom Corporation,removed,
207,2016-02-01,CFG,Citizens,added,
208,2016-02-01,FRT,Federal Realty Investment Trust,added,
207,2016-02-01,PCP,Precision Castparts Corporation,removed,
209,2016-01-19,ACE,Chubb,removed,
209,2016-01-19,EXR,Extra Space Storage,added,
210,2016-01-05,FOSL,Fossil Group,removed,
210,2016-01-05,WLTW,Willis Towers Watson,added,
494,2016-01-05,WTW,Willis Towers Watson,added,0001140536
211,2015-12-29,ALTR,Altera,removed,
211,2015-12-29,CHD,Church & Dwight,added,
212,2015-12-15,CMCSK,Comcast K Corp,removed,
213,2015-12-01,CSC,Computer Sciences Corporation,removed,
213,2015-12-01,CSRA,CSRA,added,
214,2015-11-19,ILMN,Illumina,added,
214,2015-11-19,SIAL,Sigma-Aldrich,removed,
215,2015-11-18,GNW,Genworth Financial,removed,
215,2015-11-18,SYF,Synchrony Financial,added,
216,2015-11-02,HCBK,Hudson City Bancorp,removed,
216,2015-11-02,HPE,Hewlett Packard Enterprise,added,
217,2015-10-07,JOY,Joy Global,removed,
217,2015-10-07,VRSK,Verisk Analytics,added,
218,2015-09-18,CMCSK,Comcast Class K Special,added,
219,2015-09-18,FOX,Twenty-First Century Fox Class B,added,
220,2015-09-18,NWS,News Corporation Class B,added,
221,2015-09-02,HSP,Hospira,removed,
221,2015-09-02,UAL,United Continental Holdings,added,
222,2015-08-28,ATVI,Activision Blizzard,added,
222,2015-08-28,PLL,Pall Corporation,removed,
223,2015-07-29,DTV,DirecTV,removed,
223,2015-07-29,SIG,Signet Jewelers,added,
224,2015-07-20,NE,Noble Corporation,removed,
224,2015-07-20,PYPL,PayPal,added,
225,2015-07-08,AAP,Advance Auto Parts,added,
225,2015-07-08,FDO,Family Dollar,removed,
226,2015-07-06,KHC,Kraft Heinz,added,
226,2015-07-06,KRFT,Kraft Foods,removed,
227,2015-07-02,ATI,Allegheny Technologies,removed,
227,2015-07-02,CPGX,Columbia Pipeline Group,added,
229,2015-07-01,BXLT,Baxalta,added,
228,2015-07-01,JBHT,J.B. Hunt,added,
229,2015-07-01,QEP,QEP Resources,removed,
228,2015-07-01,TEG,Integrys Energy Group,removed,
230,2015-06-11,LO,Lorillard Tobacco Company,removed,
230,2015-06-11,QRVO,Qorvo,added,
231,2015-04-07,O,Realty Income Corporation,added,
231,2015-04-07,WIN,Windstream Communications,removed,
232,2015-03-23,AAL,American Airlines Group,added,
232,2015-03-23,AGN,Allergan,removed,
235,2015-03-23,AVP,Avon Products,removed,
233,2015-03-23,DNR,Denbury Resources,removed,
233,2015-03-23,EQIX,Equinix,added,
235,2015-03-23,HBI,Hanesbrands,added,
234,2015-03-23,NBR,Nabors Industries,removed,
234,2015-03-23,SLG,SL Green Realty,added,
236,2015-03-18,CFN,Carefusion,removed,
236,2015-03-18,HSIC,Henry Schein,added,
237,2015-03-12,PETM,PetSmart,removed,
237,2015-03-12,SWKS,Skyworks,added,
239,2015-01-27,COV,Covidien,removed,
239,2015-01-27,ENDP,Endo International,added,
238,2015-01-27,HCA,HCA Holdings,added,
238,2015-01-27,SWY,Safeway,removed,
240,2014-12-05,BMS,Bemis Company,removed,
240,2014-12-05,RCL,Royal Caribbean Cruises,added,
241,2014-11-05,JBL,Jabil Circuit,removed,
241,2014-11-05,LVLT,Level 3 Communications,added,
242,2014-09-20,BTU,Peabody Energy,removed,
243,2014-09-20,GHC,Graham Holdings,removed,
243,2014-09-20,UHS,Universal Health Services,added,
242,2014-09-20,URI,United Rentals,added,
244,2014-08-18,MNK,Mallinckrodt,added,
244,2014-08-18,RDC,Rowan Companies,removed,
245,2014-08-06,DISCK,Discovery Communications,added,
246,2014-07-02,MLM,Martin Marietta,added,
246,2014-07-02,X,United States Steel,removed,
247,2014-07-01,AMG,Affiliated Managers Group,added,
247,2014-07-01,FRX,Forest Laboratories,removed,
248,2014-06-20,IGT,International Game Technology,removed,
248,2014-06-20,XEC,Cimarex Energy,added,
249,2014-05-08,AVGO,Avago Technologies,added,
249,2014-05-08,LSI,LSI Corporation,removed,
